station_id,sensor_id,latitude,longitude,NO2_t,measurement_datetime_utc,measurement_datetime_tokyo,NO2_lag_1,NO2_lag_2,NO2_lag_3,NO2_lag_4,past_temp_1,past_humidity_1,past_pressure_1,past_wind_1,past_wind_dir_1,past_temp_2,past_humidity_2,past_pressure_2,past_wind_2,past_wind_dir_2,past_temp_3,past_humidity_3,past_pressure_3,past_wind_3,past_wind_dir_3,past_temp_4,past_humidity_4,past_pressure_4,past_wind_4,past_wind_dir_4,future_temp_1,future_humidity_1,future_pressure_1,future_wind_1,future_wind_dir_1,future_temp_2,future_humidity_2,future_pressure_2,future_wind_2,future_wind_dir_2,future_temp_3,future_humidity_3,future_pressure_3,future_wind_3,future_wind_dir_3,future_temp_4,future_humidity_4,future_pressure_4,future_wind_4,future_wind_dir_4,geometry,NO2_T+1,NO2_T+2,NO2_T+3,NO2_T+4
1215373,6518084,35.686111,139.605556,0.011,2025-03-08 10:00:00,2025-03-08 19:00:00,0.013,0.012,0.011,0.011,1.88,84,1027,3.02,33,3.57,78,1026,2.06,300,4.83,64,1026,2.57,350,4.23,63,1026,1.54,160,1.66,87,1027,4.69,23,2.01,88,1027,5.26,4,2.32,89,1027,5.66,359,2.66,90,1026,5.7,356,POINT (373821.9189463953 3950030.27953707),0.011485933,0.011516829,0.011580788,0.011170466
1215412,6587276,35.758333,139.708333,0.026,2025-03-08 10:00:00,2025-03-08 19:00:00,0.026,0.031,0.035,0.027,3.18,82,1027,0.45,44,4.55,73,1027,0.45,85,5.6,57,1026,0.45,79,5.62,63,1026,0.45,76,1.8,87,1027,4.73,28,2.16,88,1027,5.16,10,2.45,89,1027,5.48,1,2.76,90,1026,5.65,357,POINT (383227.81600395776 3957913.839451579),0.0161525,0.015967837,0.015635364,0.014806054
1215413,6587196,35.753611,139.7075,0.011,2025-03-08 10:00:00,2025-03-08 19:00:00,0.012,0.013,0.016,0.013,3.09,80,1027,0.45,44,4.23,74,1026,2.06,300,5.48,59,1026,3.6,30,5.2,61,1026,1.54,160,1.78,87,1027,4.89,26,2.13,88,1027,5.37,9,2.42,90,1027,5.73,0,2.73,90,1026,5.9,356,POINT (383145.5999844639 3957391.0719425683),0.012550085,0.012853658,0.012190494,0.011244771
1215489,6587322,35.694444,139.838889,0.009,2025-03-08 10:00:00,2025-03-08 19:00:00,0.012,0.01,0.012,0.015,3.99,84,1027,4.12,30,5.26,72,1026,3.6,20,6.07,62,1025,5.66,40,5.65,65,1026,3.6,10,2.57,88,1026,5.63,21,2.84,90,1026,6.28,15,3.01,91,1026,6.77,360,3.1,92,1025,6.92,354,POINT (394947.31316213566 3950679.8112544618),0.012870265,0.012743708,0.012262936,0.011413095
1215490,6587181,35.686111,139.830556,0.006,2025-03-08 10:00:00,2025-03-08 19:00:00,0.005,0.006,0.008,0.011,3.99,84,1027,4.12,30,5.26,72,1026,3.6,20,6.07,62,1025,5.66,40,5.65,65,1026,3.6,10,2.59,89,1026,5.63,21,2.86,90,1026,6.28,15,3.03,91,1026,6.77,360,3.11,92,1025,6.92,354,POINT (394182.3356378079 3949764.4936409653),0.012568297,0.0125443265,0.01219841,0.0113019
1215491,6520578,35.647222,139.813889,0.014,2025-03-08 10:00:00,2025-03-08 19:00:00,0.014,0.013,0.016,0.017,3.99,84,1027,4.12,30,5.26,72,1026,3.6,20,6.07,62,1025,5.66,40,5.65,65,1026,3.6,10,2.67,89,1026,6.15,18,2.95,91,1026,6.88,11,3.17,92,1026,7.6,359,3.32,93,1025,7.69,353,POINT (392622.0734698079 3945469.164077245),0.012705339,0.012509152,0.0119760465,0.011339681
1215540,6515603,35.661111,139.702778,0.017,2025-03-08 10:00:00,2025-03-08 19:00:00,0.022,0.022,0.022,0.023,3.29,83,1027,4.12,30,4.38,76,1026,3.6,20,5.57,62,1026,5.66,40,5.35,62,1026,3.6,10,2.39,88,1026,5.5,19,2.62,90,1026,6.17,5,2.81,90,1026,6.68,358,3.01,91,1026,6.76,353,POINT (382583.06224103103 3947136.7637023167),0.013015263,0.012842122,0.01233523,0.011754047
1215541,6519859,35.669444,139.663889,0.019,2025-03-08 10:00:00,2025-03-08 19:00:00,0.024,0.022,0.028,0.029,3.29,83,1027,4.12,30,4.38,76,1026,3.6,20,5.57,62,1026,5.66,40,5.35,62,1026,3.6,10,1.94,88,1026,5.33,20,2.26,89,1026,5.97,4,2.53,90,1026,6.45,358,2.84,91,1026,6.52,353,POINT (379075.4238079752 3948108.214099961),0.013440319,0.013229238,0.012811242,0.012413929
1215542,6515515,35.630556,139.780556,0.009,2025-03-08 10:00:00,2025-03-08 19:00:00,0.01,0.009,0.011,0.014,3.81,83,1026,4.12,30,4.92,75,1026,3.6,20,5.84,65,1026,5.66,40,5.72,63,1026,3.6,10,2.69,89,1026,6.06,18,2.94,91,1026,6.77,8,3.14,92,1026,7.45,358,3.3,93,1025,7.53,352,POINT (389581.38376670604 3943657.5622674935),0.0128467865,0.012723807,0.012253497,0.011436344
1215543,6518967,35.633333,139.741667,0.015,2025-03-08 10:00:00,2025-03-08 19:00:00,0.011,0.022,0.022,0.039,3.81,83,1026,4.12,30,4.92,75,1026,3.6,20,5.84,65,1026,5.66,40,5.72,63,1026,3.6,10,2.66,89,1026,5.94,17,2.9,90,1026,6.64,6,3.09,91,1026,7.28,358,3.28,92,1025,7.33,352,POINT (386063.8107111745 3944009.942840501),0.013827472,0.013268889,0.012746051,0.012577262
1215544,6519804,35.642222,139.735833,0.009,2025-03-08 10:00:00,2025-03-08 19:00:00,0.009,0.01,0.013,0.017,3.81,83,1026,4.12,30,4.92,75,1026,3.6,20,5.84,65,1026,5.66,40,5.72,63,1026,3.6,10,2.53,89,1026,5.94,17,2.79,90,1026,6.64,6,3.01,91,1026,7.28,358,3.23,92,1025,7.33,352,POINT (385548.2185043822 3945002.6570360316),0.01295542,0.012774179,0.012275072,0.011476496
1215604,6515512,35.620278,139.681667,0.015,2025-03-08 10:00:00,2025-03-08 19:00:00,0.018,0.023,0.021,0.028,3.81,83,1026,4.12,30,4.92,75,1026,3.6,20,5.84,65,1026,5.66,40,5.72,63,1026,3.6,10,2.2,89,1026,5.89,15,2.49,90,1026,6.62,2,2.75,91,1026,7.17,356,3.03,92,1025,7.16,352,POINT (380611.37546469556 3942633.1033151946),0.012986224,0.012700003,0.012208876,0.011772921
1215605,6587166,35.616667,139.686111,0.01,2025-03-08 10:00:00,2025-03-08 19:00:00,0.011,0.011,0.013,0.015,3.81,83,1026,4.12,30,4.92,75,1026,3.6,20,5.84,65,1026,5.66,40,5.72,63,1026,3.6,10,2.27,89,1026,5.89,15,2.55,90,1026,6.62,2,2.79,91,1026,7.17,356,3.06,92,1025,7.16,352,POINT (381008.49839991913 3942227.1965948907),0.012945432,0.012800969,0.012320754,0.011495366
1215606,6518338,35.65,139.691667,0.019,2025-03-08 10:00:00,2025-03-08 19:00:00,0.022,0.028,0.029,0.03,3.29,83,1027,4.12,30,4.38,76,1026,3.6,20,5.57,62,1026,5.66,40,5.35,62,1026,3.6,10,2.44,89,1026,5.5,19,2.66,90,1026,6.17,5,2.84,91,1026,6.68,358,3.03,92,1026,6.76,353,POINT (381560.89641649823 3945917.6928400258),0.013479996,0.01324593,0.012865735,0.012541552
1215737,6519084,35.761111,139.666667,0.011,2025-03-08 10:00:00,2025-03-08 19:00:00,0.01,0.011,0.011,0.009,3.09,80,1027,0.45,44,4.23,74,1026,2.06,300,5.48,59,1026,3.6,30,5.2,61,1026,1.54,160,1.66,86,1027,4.63,29,2.04,88,1027,5.03,9,2.36,89,1027,5.37,2,2.72,90,1026,5.51,358,POINT (379465.00970338617 3958272.4099195316),0.012965482,0.013400745,0.012838425,0.011580756
1215738,6587252,35.733333,139.602778,0.008,2025-03-08 10:00:00,2025-03-08 19:00:00,0.01,0.009,0.009,0.009,3.09,80,1027,0.45,44,4.23,74,1026,2.06,300,5.48,59,1026,3.6,30,5.2,61,1026,1.54,160,1.5,87,1027,4.44,28,1.9,88,1027,4.85,7,2.24,89,1027,5.23,1,2.63,90,1026,5.3,358,POINT (373645.100791188 3955271.7099148734),0.012124334,0.012619917,0.011976219,0.010707973
1215739,6516899,35.743333,139.653611,0.009,2025-03-08 10:00:00,2025-03-08 19:00:00,0.008,0.01,0.009,0.008,3.09,80,1027,0.45,44,4.23,74,1026,2.06,300,5.48,59,1026,3.6,30,5.2,61,1026,1.54,160,1.64,86,1027,4.62,27,2.0,88,1027,5.06,7,2.31,89,1027,5.44,1,2.65,90,1026,5.54,357,POINT (378257.58203505713 3956316.611133318),0.012508069,0.012945997,0.012356492,0.0110904155
1215784,6516949,35.730556,139.791667,0.006,2025-03-08 10:00:00,2025-03-08 19:00:00,0.004,0.005,0.007,0.009,3.37,82,1027,0.45,44,4.71,72,1027,2.57,80,5.54,57,1026,0.45,79,5.65,65,1026,1.03,60,2.29,88,1026,5.12,23,2.58,89,1026,5.63,14,2.78,90,1026,5.93,360,2.93,91,1026,6.12,354,POINT (390723.9706310427 3954736.808707982),0.015562673,0.014724676,0.014727789,0.013770164
1215848,6587251,35.738611,139.729444,0.011,2025-03-08 10:00:00,2025-03-08 19:00:00,0.01,0.012,0.021,0.019,3.29,83,1027,4.12,30,4.38,76,1026,3.6,20,5.57,62,1026,5.66,40,5.35,62,1026,3.6,10,1.94,87,1026,4.98,25,2.27,88,1026,5.49,10,2.52,90,1026,5.83,360,2.79,91,1026,6.0,355,POINT (385108.0956779081 3955701.358209701),0.013528515,0.013367926,0.012801332,0.012068208
1215878,6520231,35.772222,139.805556,0.013,2025-03-08 10:00:00,2025-03-08 19:00:00,0.015,0.012,0.01,0.013,3.37,82,1027,0.45,44,4.71,72,1027,2.57,80,5.54,57,1026,0.45,79,5.65,65,1026,1.03,60,2.2,89,1026,4.94,25,2.5,90,1026,5.38,14,2.7,91,1026,5.6,360,2.85,92,1026,5.81,355,POINT (392036.38528783515 3959342.9236732135),0.014886684,0.014526059,0.014553511,0.014157541
1215880,6517103,35.777778,139.780556,0.009,2025-03-08 10:00:00,2025-03-08 19:00:00,0.006,0.007,0.011,0.012,3.37,82,1027,0.45,44,4.71,72,1027,2.57,80,5.54,57,1026,0.45,79,5.65,65,1026,1.03,60,2.08,88,1026,4.88,26,2.4,89,1026,5.33,12,2.63,90,1026,5.58,0,2.85,91,1026,5.79,355,POINT (389784.24192068493 3959987.0180534283),0.014527968,0.014216412,0.0142838275,0.013885714
1298213,6587300,35.681389,139.718611,0.01,2025-03-08 10:00:00,2025-03-08 19:00:00,0.011,0.013,0.013,0.014,3.29,83,1027,4.12,30,4.38,76,1026,3.6,20,5.57,62,1026,5.66,40,5.35,62,1026,3.6,10,2.36,88,1026,5.27,21,2.59,89,1026,5.87,7,2.78,90,1026,6.33,359,2.98,91,1026,6.44,354,POINT (384045.58794653945 3949367.1436412875),0.013083588,0.012963178,0.012511404,0.011632692
